Title,Price,Bedrooms,Area,Link
GORGEOUS Studio on Beacon St. BACK BAY Near BU MIT NECO,1800,,,https://boston.craigslist.org/gbs/fee/d/gorgeous-studio-on-beacon-st/6453431495.html
4 Bed on Saint Lukes Rd ALLSTON Near BU,4400,4,,https://boston.craigslist.org/gbs/fee/d/4-bed-on-saint-lukes-rd/6453431388.html
2 Bed 1 Bath Pet OK With H&HW Available 2/01,1995,2,,https://boston.craigslist.org/gbs/fee/d/2-bed-1-bath-pet-ok-with-hhw/6456774684.html
3 Bed on Chester St ALLSTON,3000,3,,https://boston.craigslist.org/gbs/fee/d/3-bed-on-chester-st-allston/6453423720.html
4 Bed on Pratt St Allston NEAR BU,3400,4,,https://boston.craigslist.org/gbs/fee/d/4-bed-on-pratt-st-allston/6453423596.html
Studio on Queensberry FENWAY,1675,,,https://boston.craigslist.org/gbs/fee/d/studio-on-queensberry-fenway/6453365908.html
Studio on Jersey St  Fenway,2075,1,,https://boston.craigslist.org/gbs/fee/d/studio-on-jersey-st-fenway/6453365812.html
Park Dr 1 Bed Fenway!! Mins to Downtown,1800,1,,https://boston.craigslist.org/gbs/fee/d/park-dr-1-bed-fenway-mins-to/6453355821.html
"UP TO HALF MONTH OFF, HALF FEE PAID!! AMAZING LUXURY CONSTRUCTION!!!!",3325,2,1193ft2,https://boston.craigslist.org/gbs/fee/d/up-to-half-month-off-half-fee/6464824137.html
Park Dr 1 Bed Fenway!! AWESOME LOCATION,1800,1,,https://boston.craigslist.org/gbs/fee/d/park-dr-1-bed-fenway-awesome/6453355774.html
"Huge, single family, 4 beds, east side",4000,4,,https://boston.craigslist.org/gbs/fee/d/huge-single-family-4-beds/6464824094.html
Park Dr 1 Bed Fenway!! AWESOME LOCATION,1800,1,,https://boston.craigslist.org/gbs/fee/d/park-dr-1-bed-fenway-awesome/6453355774.html
"Huge, single family, 4 beds, east side",4000,4,,https://boston.craigslist.org/gbs/fee/d/huge-single-family-4-beds/6464824094.html
"Studio on Hemenway St., studio w/alcove, Laundry in Building",1710,,,https://boston.craigslist.org/gbs/fee/d/studio-on-hemenway-st-studio/6453337846.html
Studio on Burbank St FENWAY Near NEU BERKLEE BOCO NEC WIT,1525,,,https://boston.craigslist.org/gbs/fee/d/studio-on-burbank-st-fenway/6453327633.html
Amazing Chinatown 1 Bedroom- NO BROKER FEE!,2000,1,,https://boston.craigslist.org/gbs/nfb/d/amazing-chinatown-1-bedroom/6444754478.html
Park Dr 3 Bed FENWAY Near Simmons NEU BU,4010,3,,https://boston.craigslist.org/gbs/fee/d/park-dr-3-bed-fenway-near/6453337755.html
"ASTOUNDING 4BD/2BTH~HEAT,H/W INCLD~MODERN KTCH/BTH~COOLIDGE CORNER",4600,4,,https://boston.craigslist.org/gbs/fee/d/astounding-4bd-2bthheath/6464815726.html
WONDERFUL Studio on Beacon St KENMORE BU SOUTH SIMMONS MCPHS,1500,,396ft2,https://boston.craigslist.org/gbs/fee/d/wonderful-studio-on-beacon-st/6453299662.html
Great 5 Bedroom/2 Bath in North End,4750,5,1400ft2,https://boston.craigslist.org/gbs/fee/d/great-5-bedroom-2-bath-in/6444662258.html
COMM AVE CONDO MINS TO BU *MUST SEE*,2300,1,525ft2,https://boston.craigslist.org/gbs/fee/d/comm-ave-condo-mins-to-bu/6440414996.html
Prime South End Location,4153,2,1107ft2,https://boston.craigslist.org/gbs/fee/d/prime-south-end-location/6451396065.html
Perfect 1 Bedroom in South End,3284,1,709ft2,https://boston.craigslist.org/gbs/fee/d/perfect-1-bedroom-in-south-end/6451406200.html
Amazing North End 1 Bedroom,1900,1,400ft2,https://boston.craigslist.org/gbs/fee/d/amazing-north-end-1-bedroom/6435788249.html
GREAT 3 BED IN ALLSTON WITH LAUNDRY IN BUILDING NEAR BU AVAIL 9/1,2700,3,,https://boston.craigslist.org/gbs/fee/d/great-3-bed-in-allston-with/6464823475.html
"4 Bd on Brainerd Rd., 2 Bath, Ceramic Tiles, Internet, Modern Bath",3700,4,1700ft2,https://boston.craigslist.org/gbs/fee/d/4-bd-on-brainerd-rd-2-bath/6464823400.html
OUTSTANDING 4BD~WALK-IN CLOSETS!~CATS OK~GREEN-D,3500,4,,https://boston.craigslist.org/gbs/fee/d/outstanding-4bdwalk-in/6464823403.html
Beautiful 2 Bedroom/2 Bath in West End,3325,2,1156ft2,https://boston.craigslist.org/gbs/fee/d/beautiful-2-bedroom-2-bath-in/6447934343.html
Beautiful 1 Bedroom in West End,2805,1,742ft2,https://boston.craigslist.org/gbs/fee/d/beautiful-1-bedroom-in-west/6447940557.html
Prime North End Location,2100,1,630ft2,https://boston.craigslist.org/gbs/fee/d/prime-north-end-location/6435781704.html
1 Bed on Pratt St ALLSTON Near BU,1800,1,,https://boston.craigslist.org/gbs/fee/d/1-bed-on-pratt-st-allston/6453417753.html
"Huge, single family, 4 beds, east side",4000,4,,https://boston.craigslist.org/gbs/fee/d/huge-single-family-4-beds/6464822880.html
Huge 4 Bedroom Heat/HW included ALLSTON,3500,4,1200ft2,https://boston.craigslist.org/gbs/fee/d/huge-4-bedroom-heat-hw/6453417659.html
Prime North End Location,2850,1,680ft2,https://boston.craigslist.org/gbs/fee/d/prime-north-end-location/6435779097.html
PEACEFUL LIVING IN NO FEE BRICK COMPLEX IN THE HEART OF BACK BAY!!!,3399,1,776ft2,https://boston.craigslist.org/gbs/nfb/d/peaceful-living-in-no-fee/6464822758.html
5 Bed on Ashford St ALLSTON Near BU,4750,5,,https://boston.craigslist.org/gbs/fee/d/5-bed-on-ashford-st-allston/6453417537.html
3 Bed on Ashford St ALLSTON Near BU,3200,3,,https://boston.craigslist.org/gbs/fee/d/3-bed-on-ashford-st-allston/6453390628.html
Studio on Queensberry St Fenway - Mins to Longwood -,1625,,,https://boston.craigslist.org/gbs/fee/d/studio-on-queensberry-st/6453390520.html
Quality 1 Bedroom in West End,2856,1,787ft2,https://boston.craigslist.org/gbs/fee/d/quality-1-bedroom-in-west-end/6447944246.html
Quality 2 Bedroom/2 Bath in Seaport District,3794,2,1058ft2,https://boston.craigslist.org/gbs/fee/d/quality-2-bedroom-2-bath-in/6433144698.html
COMM AVE CONDO MINS TO DOWNTOWN  *MUST SEE*,2300,1,525ft2,https://boston.craigslist.org/gbs/fee/d/comm-ave-condo-mins-to/6453327542.html
COMM AVE CONDO MINS TO DOWNTOWN  *MUST SEE*,2300,1,525ft2,https://boston.craigslist.org/gbs/fee/d/comm-ave-condo-mins-to/6453327492.html
3 Bd on Beacon St Kenmore Mins to BU SIMMONS WHEELOCK,3360,3,731ft2,https://boston.craigslist.org/gbs/fee/d/3-bd-on-beacon-st-kenmore/6453299735.html
Studio on Brainerd Rd ALLSTON,1575,,,https://boston.craigslist.org/gbs/fee/d/studio-on-brainerd-rd-allston/6439268263.html
Prime Seaport District Location,3189,1,712ft2,https://boston.craigslist.org/gbs/fee/d/prime-seaport-district/6433148228.html
"2 Bd on Euston Rd., Disposal, Hardwood Floors, Ceramic Tiles, A/C",2425,2,,https://boston.craigslist.org/gbs/fee/d/2-bd-on-euston-rd-disposal/6464744769.html
1 Bed on  Queensberry St Fenway Mins to Longwood,2150,1,,https://boston.craigslist.org/gbs/fee/d/1-bed-on-queensberry-st/6453390626.html
Stunning 1 Bedroom in Seaport District with Private Outdoor Space,3699,1,829ft2,https://boston.craigslist.org/gbs/fee/d/stunning-1-bedroom-in-seaport/6433172070.html
1 Bd on Queensberry St FENWAY,2150,1,,https://boston.craigslist.org/gbs/fee/d/1-bd-on-queensberry-st-fenway/6453390449.html
Studio on Jersey St FENWAY,1775,,395ft2,https://boston.craigslist.org/gbs/fee/d/studio-on-jersey-st-fenway/6453390511.html
1 Bd on Park Dr Fenway,2250,1,,https://boston.craigslist.org/gbs/fee/d/1-bd-on-park-dr-fenway/6453365783.html
2 bed Condo on Edgerly Rd Fenway Laundry in Unit,3250,2,,https://boston.craigslist.org/gbs/fee/d/2-bed-condo-on-edgerly-rd/6453365691.html
Park Dr 1 Bed Fenway!! Mins to Longwood,1800,1,,https://boston.craigslist.org/gbs/fee/d/park-dr-1-bed-fenway-mins-to/6453355732.html
Wonderfully Updated South End 2 Bedroom,3530,2,929ft2,https://boston.craigslist.org/gbs/fee/d/wonderfully-updated-south-end/6444708939.html
4 Bd on Park Dr FENWAY Near NEU SIMMONS WIT MCPHS,5600,4,,https://boston.craigslist.org/gbs/fee/d/4-bd-on-park-dr-fenway-near/6453355679.html
2 Bed on Hemenway St Near Northeastern WIT Berklee MCPHS,2500,1,,https://boston.craigslist.org/gbs/fee/d/2-bed-on-hemenway-st-near/6453355644.html
Studio on Hemenway St FENWAY Near NEU BERKLEE WIT,1700,,,https://boston.craigslist.org/gbs/fee/d/studio-on-hemenway-st-fenway/6453337950.html
Studio on Hemenway St FENWAY Near NEU BERKLEE WIT,1710,,,https://boston.craigslist.org/gbs/fee/d/studio-on-hemenway-st-fenway/6453337898.html
Available 9-1 | 2 bed | spectacular | office/den,1900,2,,https://boston.craigslist.org/gbs/fee/d/availablebed-spectacular/6464822033.html
Westland Ave Studio FENWAY Near NEU WIT BERKLEE BAC BOCO,1850,,,https://boston.craigslist.org/gbs/fee/d/westland-ave-studio-fenway/6453337805.html
BU SOUTH 2 Bed KENMORE,2450,1,516ft2,https://boston.craigslist.org/gbs/fee/d/bu-south-2-bed-kenmore/6453327459.html
3 Bed on Beacon St KENMORE BU MCPHS SIMMONS,2820,3,752ft2,https://boston.craigslist.org/gbs/fee/d/3-bed-on-beacon-st-kenmore-bu/6453299692.html
Beacon St 1 Bed Kenmore Sq Near BU / MIT  / BUMC,2100,1,517ft2,https://boston.craigslist.org/gbs/fee/d/beacon-st-1-bed-kenmore-sq/6453299631.html
FURNISHED SHORT TERM 1 BED IN KENMORE SQ MINS TO BU MIT BUMC,2600,1,520ft2,https://boston.craigslist.org/gbs/fee/d/furnished-short-term-1-bed-in/6440415068.html
3 Bd on Park Dr.KENMORE Near BU NEU WIT,4250,3,,https://boston.craigslist.org/gbs/fee/d/3-bd-on-park-drkenmore-near/6440414928.html
5 Bd on Hillside St.,4650,5,1200ft2,https://boston.craigslist.org/gbs/fee/d/5-bd-on-hillside-st/6464821737.html
"Huge, single family, 4 beds, east side",4000,4,,https://boston.craigslist.org/gbs/fee/d/huge-single-family-4-beds/6464821633.html
Chestnut Hill 3 Bed Manet Rd Mins to BC,4200,3,,https://boston.craigslist.org/gbs/fee/d/chestnut-hill-3-bed-manet-rd/6439680637.html
Studio on Burbank St FENWAY Near NEU BERKLEE BOCO NEC WIT,1525,,,https://boston.craigslist.org/gbs/fee/d/studio-on-burbank-st-fenway/6439452400.html
